Clip,L1 Loss,L2 Loss,SNR (dB)
34823,1.949175,6.403011,26.44
34824,2.075000,7.100687,26.06
34825,2.046494,6.902787,26.13
34826,2.080500,7.232464,25.80
34827,2.054141,7.145963,25.71
34828,2.077243,7.667845,25.25
34829,1.971694,6.963367,25.54
34830,1.941550,6.391278,25.86
34831,1.788663,5.400228,26.60
34832,1.748211,5.143979,26.86
34833,1.796014,5.416971,26.71
34834,1.869345,5.891585,26.43
34835,1.941194,6.567782,26.05
34836,1.882747,6.380741,26.24
34837,1.997227,7.629160,25.50
34838,2.139596,8.828869,24.88
34839,2.070314,8.695683,24.91
34840,2.275180,9.643847,24.38
34841,2.320159,9.945230,24.16
34842,2.383814,10.122908,24.02
34843,2.202939,8.337774,24.84
34844,2.022394,7.386510,25.39
34845,1.926886,6.646592,26.00
34846,1.982920,6.139677,26.60
34847,1.873892,5.470069,27.41
34848,1.845607,5.253476,27.95
34849,1.935275,5.857289,27.86
34850,1.977226,6.340749,27.89
34851,2.013669,6.723328,27.96
34852,2.025055,6.970973,28.09
34853,1.758955,5.775424,29.15
34854,1.720482,5.527767,29.53
34855,1.596881,4.353343,30.69
34856,1.484378,3.841628,31.34
34857,1.327208,3.211713,32.17
34858,1.322083,3.161045,32.27
34859,1.356423,3.278293,32.13
34860,1.504097,3.754372,31.54
34861,1.724328,5.099050,30.21
34862,1.729503,5.207810,30.11
34863,1.666137,4.680163,30.57
34864,1.698794,4.406017,30.83
34865,1.787487,5.002726,30.29
34866,1.841352,5.014775,30.28
34867,1.770569,4.917190,30.38
34868,1.810802,5.721648,29.72
34869,1.890219,6.195034,29.36
34870,1.966032,6.292215,29.27
34871,1.914564,5.750956,29.59
34872,1.816078,5.210896,29.89
34873,2.002978,6.648479,28.65
34874,2.191925,7.626485,27.78
34875,2.292898,8.709355,26.84
34876,2.229025,8.204104,26.67
34877,2.295613,8.372096,26.10
34878,2.195922,8.516815,25.50
34879,2.298601,9.293673,24.56
34880,2.439125,9.857232,23.76
34881,2.453901,10.155870,23.11
34882,2.653229,11.503025,22.10
34883,2.660600,11.275513,21.77
34884,2.510715,11.333341,21.42
34885,2.746908,12.812404,20.61
34886,2.585460,12.180400,20.62
34887,2.557379,11.737358,20.64
34888,2.948502,14.064882,19.76
34889,3.993281,27.946499,16.69
34890,3.795872,23.458954,17.46
34891,3.952884,25.400478,17.27
34892,4.070713,27.210669,17.15
34893,4.305839,32.796753,16.47
34894,4.032182,30.540724,16.88
34895,3.745407,25.340376,17.70
34896,3.742479,25.015062,17.71
34897,3.530127,23.196543,18.11
34898,3.188184,20.257481,18.93
34899,2.709375,12.035793,21.51
34900,2.762772,12.441930,21.72
34901,2.599077,11.257080,22.46
34902,2.415135,9.877287,23.25
34903,2.420418,9.955649,23.36
34904,2.836488,13.171354,22.22
34905,2.960178,13.997364,21.84
34906,2.981639,13.895700,21.70
34907,2.924469,12.926329,21.87
34908,3.182843,16.362839,20.77
34909,3.015474,15.670764,20.89
34910,2.971493,14.991404,21.06
34911,2.655874,11.844031,22.06
34912,2.375687,10.126391,22.68
34913,2.684438,12.886763,21.51
34914,3.085774,15.311687,20.69
34915,2.949436,14.820441,20.97
34916,3.002769,14.710320,21.14
34917,3.056024,16.507122,20.65
34918,3.422594,19.983395,19.66
34919,3.380513,19.678091,19.43
34920,3.671308,22.270020,18.39
34921,3.708763,24.144079,17.56
34922,3.751582,24.668665,17.20
34923,3.438634,20.539410,18.10
34924,3.362447,20.023743,18.60
34925,3.233073,17.343744,19.74
34926,3.248610,17.013113,20.23
34927,3.379933,17.613125,20.30
34928,3.582348,19.841921,19.83
34929,3.779027,21.995174,19.30
34930,4.022737,25.286381,18.58
34931,3.956127,25.323578,18.51
34932,3.968182,26.453465,18.28
34933,4.104113,27.406729,18.02
34934,3.687683,22.835714,18.68
34935,3.416842,19.778975,19.23
34936,3.218571,17.846762,19.61
34937,3.235097,16.474037,19.93
34938,3.379206,17.873110,19.69
34939,3.099328,14.679309,20.70
34940,3.147970,16.027744,20.53
34941,2.677003,11.971198,22.20
34942,2.424673,9.528365,23.62
34943,2.633557,11.212914,23.13
34944,3.006673,13.791027,22.24
34945,2.937432,13.266926,22.29
34946,2.330261,8.268148,24.10
34947,2.591523,10.598337,22.82
34948,2.707488,11.306381,22.61
34949,2.926460,14.011603,21.98
34950,2.491727,9.573098,23.83
34951,2.754320,12.190653,22.82
